date,crop_name,market,price
2019-12-18,Maize Grain (White),Jinka,8.6
2019-12-18,Sheep (Local Quality),Yabelo,1800.0
2019-12-18,Firewood,Gode,15.0
2019-12-18,Oxen (Local Quality),Sekota,8010.0
2019-12-18,Sheep (Local Quality),Sekota,1630.0
2019-12-18,Camels (Local Quality),Warder,17000.0
2019-12-18,Beans (Haricot),Warder,100.0
2019-12-18,Horse beans,"Addis Ababa, Merkato",47.0
2019-12-18,Maize Grain (White),"Addis Ababa, Merkato",15.2
2019-12-18,Mixed Teff,"Addis Ababa, Merkato",35.2
2019-12-18,Wheat Grain,Sikela,27.8
2019-12-18,Sorghum (White),Sikela,15.6
2019-12-18,"Casual Labor (unskilled, daily, without food)",Warder,140.0
2019-12-18,Sorghum (Red),Sikela,20.0
2019-12-18,Oxen (Local Quality),"Addis Ababa, Merkato",21800.0
2019-12-18,Mixed Teff,Sikela,28.4
2019-12-18,Mixed Teff,Yabelo,29.4
2019-12-18,Maize Grain (White),Sikela,9.4
2019-12-18,Horse beans,Sikela,38.0
2019-12-18,Goats (Local Quality),Sikela,1900.0
2019-12-18,Gasoline,Sikela,23.2
2019-12-18,Sheep (Local Quality),Sikela,1600.0
2019-12-18,Diesel,Warder,25.0
2019-12-18,Goats (Local Quality),"Addis Ababa, Merkato",2740.0
2019-12-18,Firewood,Warder,12.0
2019-12-18,Diesel,"Addis Ababa, Merkato",18.75
2019-12-18,Gasoline,Yabelo,22.05
2019-12-18,Firewood,Yabelo,85.0
2019-12-18,Diesel,Yabelo,19.27
2019-12-18,"Casual Labor (unskilled, daily, without food)",Yabelo,120.0
2019-12-18,Camels (Local Quality),Yabelo,10800.0
2019-12-18,Beans (Haricot),Yabelo,25.0
2019-12-18,Firewood,"Addis Ababa, Merkato",18.4
2019-12-18,Wheat Flour,Warder,31.0
2019-12-18,Sorghum (White),Warder,30.0
2019-12-18,Sorghum (Red),Warder,30.0
2019-12-18,Sheep (Local Quality),Warder,1550.0
2019-12-18,Maize Grain (White),Yabelo,10.6
2019-12-18,Gasoline,"Addis Ababa, Merkato",18.75
2019-12-18,Oxen (Local Quality),Warder,5333.33333333
2019-12-18,Goats (Local Quality),Warder,1720.0
2019-12-18,Gasoline,Warder,37.0
2019-12-18,Firewood,Sikela,165.0
2019-12-18,Wheat Flour,"Addis Ababa, Merkato",26.0
2019-12-18,Diesel,Sikela,18.5
2019-12-18,Beans (Haricot),Sikela,15.66666667
2019-12-18,Sorghum (Red),"Addis Ababa, Merkato",18.2
2019-12-18,Oxen (Local Quality),Shashemene,7300.0
2019-12-18,Mixed Teff,Shashemene,30.2
2019-12-18,Maize Grain (White),Shashemene,10.2
2019-12-18,Horse beans,Shashemene,31.0
2019-12-18,Goats (Local Quality),Shashemene,1680.0
2019-12-18,Sorghum (White),"Addis Ababa, Merkato",26.6
2019-12-18,Sheep (Local Quality),Shashemene,1400.0
2019-12-18,Gasoline,Shashemene,21.66
2019-12-18,Diesel,Shashemene,18.88
2019-12-18,"Casual Labor (unskilled, daily, without food)",Shashemene,132.0
2019-12-18,Sorghum (Yellow),"Addis Ababa, Merkato",28.0
2019-12-18,Beans (Haricot),Shashemene,12.8
2019-12-18,Wheat Grain,Sekota,30.4
2019-12-18,Sorghum (Yellow),Sekota,30.0
2019-12-18,Sorghum (White),Sekota,28.0
2019-12-18,Firewood,Shashemene,5.0
2019-12-18,Sorghum (Red),Shashemene,16.2
2019-12-18,Sorghum (White),Shashemene,20.2
2019-12-18,Wheat Flour,Shashemene,28.0
2019-12-18,Wheat Grain,Shire,16.35
2019-12-18,Sorghum (White),Shire,9.304
2019-12-18,Sorghum (Red),Shire,10.8075
2019-12-18,Sheep (Local Quality),Shire,2140.0
2019-12-18,Oxen (Local Quality),Shire,13200.0
2019-12-18,Mixed Teff,Shire,32.368
2019-12-18,Maize Grain (White),Shire,9.034
2019-12-18,Horse beans,Shire,24.532
2019-12-18,Goats (Local Quality),Shire,2410.0
2019-12-18,Gasoline,Shire,18.87
2019-12-18,Firewood,Shire,12.432
2019-12-18,Diesel,Shire,18.87
2019-12-18,Oxen (Local Quality),Yabelo,16800.0
2019-12-18,Sheep (Local Quality),"Addis Ababa, Merkato",2640.0
2019-12-18,"Casual Labor (unskilled, daily, without food)",Shire,164.0
2019-12-18,Beans (Haricot),Shire,18.56
2019-12-18,Wheat Grain,Shashemene,16.4
2019-12-18,"Casual Labor (unskilled, daily, without food)",Sikela,72.0
2019-12-18,Diesel,Gode,25.0
2019-12-18,Sheep (Local Quality),Mekele,3240.0
2019-12-18,Camels (Local Quality),Gode,15100.0
2019-12-18,Wheat Grain,Chereti,35.0
2019-12-18,Wheat Grain,Dessie,17.4
2019-12-18,Beans (Haricot),"Dire Dawa, Kezira",17.0
2019-12-18,Wheat Flour,Chereti,40.0
2019-12-18,"Casual Labor (unskilled, daily, without food)","Dire Dawa, Kezira",120.0
2019-12-18,Sorghum (White),Chereti,22.4
2019-12-18,Mixed Teff,Bahir Dar,30.7
2019-12-18,Diesel,"Dire Dawa, Kezira",18.08
2019-12-18,Sorghum (Red),Chereti,30.0
2019-12-18,Firewood,"Dire Dawa, Kezira",36.5
2019-12-18,Sheep (Local Quality),Chereti,1920.0
2019-12-18,Gasoline,"Dire Dawa, Kezira",20.86
2019-12-18,Sorghum (Yellow),Dessie,17.8
2019-12-18,Goats (Local Quality),"Dire Dawa, Kezira",2220.0
2019-12-18,Horse beans,"Dire Dawa, Kezira",34.0
2019-12-18,Maize Grain (White),Chereti,22.6
2019-12-18,Maize Grain (White),"Dire Dawa, Kezira",13.4
2019-12-18,Beans (Haricot),Dessie,14.3
2019-12-18,Mixed Teff,"Dire Dawa, Kezira",31.6
2019-12-18,Horse beans,Chereti,30.0
2019-12-18,Maize Grain (White),Bahir Dar,10.106
2019-12-18,Oxen (Local Quality),"Dire Dawa, Kezira",16400.0
2019-12-18,Goats (Local Quality),Chereti,2600.0
2019-12-18,Sheep (Local Quality),"Dire Dawa, Kezira",1250.0
2019-12-18,Sorghum (Red),"Dire Dawa, Kezira",15.0
2019-12-18,Gasoline,Chereti,23.6
2019-12-18,Oxen (Local Quality),Chereti,14000.0
2019-12-18,Oxen (Local Quality),Bahir Dar,10400.0
2019-12-18,Camels (Local Quality),Degehabour,20520.0
2019-12-18,Sorghum (White),Bahir Dar,18.66666667
2019-12-18,Diesel,Dessie,18.31
2019-12-18,Firewood,Dessie,6.0
2019-12-18,Wheat Grain,Degehabour,20.0
2019-12-18,Wheat Flour,Degehabour,25.0
2019-12-18,Gasoline,Dessie,21.09
2019-12-18,Sorghum (Yellow),Degehabour,12.2
2019-12-18,Goats (Local Quality),Dessie,3640.0
2019-12-18,Wheat Grain,Yabelo,16.4
2019-12-18,Sorghum (White),Degehabour,20.0
2019-12-18,Sorghum (Red),Degehabour,12.0
2019-12-18,Sheep (Local Quality),Degehabour,1652.0
2019-12-18,Horse beans,Dessie,27.5
2019-12-18,Oxen (Local Quality),Degehabour,11200.0
2019-12-18,Maize Grain (White),Degehabour,12.0
2019-12-18,Maize Grain (White),Dessie,10.3
2019-12-18,Mixed Teff,Dessie,31.4
2019-12-18,Sheep (Local Quality),Bahir Dar,2820.0
2019-12-18,Goats (Local Quality),Degehabour,1680.0
2019-12-18,"Casual Labor (unskilled, daily, without food)",Gode,174.0
2019-12-18,Oxen (Local Quality),Dessie,17400.0
2019-12-18,Gasoline,Degehabour,25.2
2019-12-18,Sheep (Local Quality),Dessie,2560.0
2019-12-18,Firewood,Degehabour,15.0
2019-12-18,Diesel,Degehabour,20.2
2019-12-18,Sorghum (Red),Dessie,13.8
2019-12-18,"Casual Labor (unskilled, daily, without food)",Degehabour,200.0
2019-12-18,Sorghum (White),Dessie,20.5
2019-12-18,Sorghum (White),"Dire Dawa, Kezira",22.0
2019-12-18,Firewood,Chereti,12.0
2019-12-18,Wheat Grain,Bahir Dar,24.006
2019-12-18,Firewood,Gambella,19.4
2019-12-18,Camels (Local Quality),Chereti,19000.0
2019-12-18,Beans (Haricot),Chereti,40.0
2019-12-18,Wheat Grain,Beddenno,19.5
2019-12-18,Goats (Local Quality),Bahir Dar,1720.0
2019-12-18,Sorghum (White),Beddenno,9.1
2019-12-18,Sorghum (Red),Beddenno,18.9
2019-12-18,Gasoline,Gambella,23.4
2019-12-18,Sheep (Local Quality),Beddenno,1080.0
2019-12-18,Goats (Local Quality),Gambella,2220.0
2019-12-18,"Casual Labor (unskilled, daily, without food)",Beddenno,147.0
2019-12-18,Horse beans,Gambella,41.6
2019-12-18,Oxen (Local Quality),Beddenno,6860.0
2019-12-18,Maize Grain (White),Gambella,11.8
2019-12-18,Mixed Teff,Beddenno,32.7
2019-12-18,Mixed Teff,Gambella,33.8
2019-12-18,Maize Grain (White),Beddenno,8.7
2019-12-18,Horse beans,Beddenno,27.6
2019-12-18,Sorghum (White),Yabelo,15.4
2019-12-18,Gasoline,Bahir Dar,21.54
2019-12-18,Oxen (Local Quality),Gambella,7700.0
2019-12-18,Sheep (Local Quality),Gambella,2900.0
2019-12-18,Diesel,Beddenno,20.2
2019-12-18,Sorghum (Red),Gambella,20.0
2019-12-18,Goats (Local Quality),Beddenno,1410.0
2019-12-18,Firewood,Bahir Dar,2.93
2019-12-18,Gasoline,Beddenno,30.0
2019-12-18,Beans (Haricot),Gode,80.0
2019-12-18,Diesel,Gambella,17.2
2019-12-18,"Casual Labor (unskilled, daily, without food)",Gambella,84.0
2019-12-18,"Casual Labor (unskilled, daily, without food)",Dessie,144.0
2019-12-18,Beans (Haricot),Beddenno,9.2
2019-12-18,Wheat Grain,"Dire Dawa, Kezira",23.4
2019-12-18,"Casual Labor (unskilled, daily, without food)",Chereti,200.0
2019-12-18,Wheat Flour,"Dire Dawa, Kezira",30.0
2019-12-18,Beans (Haricot),Gambella,16.0
2019-12-18,Horse beans,Bahir Dar,35.286
2019-12-18,Diesel,Chereti,28.0
2019-12-25,Maize Grain (White),Sikela,9.4
2019-12-25,Sheep (Local Quality),Bahir Dar,2140.0
2019-12-25,"Casual Labor (unskilled, daily, without food)",Chereti,230.0
2019-12-25,Camels (Local Quality),Yabelo,10700.0
2019-12-25,Goats (Local Quality),Chereti,2880.0
2019-12-25,Firewood,Shire,146.0
2019-12-25,Beans (Haricot),Yabelo,24.6
2019-12-25,Wheat Grain,Sikela,29.4
2019-12-25,Diesel,Warder,25.0
2019-12-25,Sorghum (White),Sikela,15.0
2019-12-25,Gasoline,Shire,21.13
2019-12-25,Sorghum (Red),Sikela,19.25
2019-12-25,Diesel,Shire,18.87
2019-12-25,"Casual Labor (unskilled, daily, without food)",Yabelo,122.0
2019-12-25,Mixed Teff,"Addis Ababa, Merkato",29.4
2019-12-25,"Casual Labor (unskilled, daily, without food)",Shire,160.0
2019-12-25,Beans (Haricot),Warder,100.0
2019-12-25,Sorghum (Red),"Addis Ababa, Merkato",21.0
2019-12-25,"Casual Labor (unskilled, daily, without food)",Warder,350.0
2019-12-25,Firewood,Chereti,20.0
2019-12-25,Diesel,"Addis Ababa, Merkato",18.75
2019-12-25,Gasoline,Yabelo,22.05
2019-12-25,Sheep (Local Quality),"Addis Ababa, Merkato",2440.0
2019-12-25,Firewood,Yabelo,83.0
2019-12-25,Gasoline,Chereti,40.0
2019-12-25,Diesel,Yabelo,19.27
2019-12-25,Maize Grain (White),"Addis Ababa, Merkato",15.0
2019-12-25,Beans (Haricot),Shire,21.516
2019-12-25,Goats (Local Quality),"Addis Ababa, Merkato",2940.0
2019-12-25,Goats (Local Quality),Shire,2500.0
2019-12-25,Horse beans,"Addis Ababa, Merkato",38.0
2019-12-25,Horse beans,Chereti,60.0
2019-12-25,Wheat Flour,Warder,31.0
2019-12-25,Maize Grain (White),Chereti,30.0
2019-12-25,Oxen (Local Quality),"Addis Ababa, Merkato",26400.0
2019-12-25,"Casual Labor (unskilled, daily, without food)",Sikela,74.0
2019-12-25,Sorghum (Red),Chereti,25.0
2019-12-25,Mixed Teff,Sikela,28.6
2019-12-25,Diesel,Sikela,19.0
2019-12-25,Beans (Haricot),Chereti,40.0
2019-12-25,Gasoline,"Addis Ababa, Merkato",18.75
2019-12-25,Sheep (Local Quality),Chereti,2360.0
2019-12-25,Gasoline,Sikela,25.0
2019-12-25,Gasoline,Warder,38.0
2019-12-25,Goats (Local Quality),Warder,1740.0
2019-12-25,Goats (Local Quality),Sikela,1980.0
2019-12-25,Oxen (Local Quality),Chereti,15000.0
2019-12-25,Horse beans,Sikela,37.6
2019-12-25,Camels (Local Quality),Chereti,23800.0
2019-12-25,Beans (Haricot),Sikela,15.4
2019-12-25,Horse beans,Shire,23.79
2019-12-25,Sorghum (White),Chereti,20.0
2019-12-25,Sheep (Local Quality),Warder,1530.0
2019-12-25,Sheep (Local Quality),Sikela,1480.0
2019-12-25,Maize Grain (White),Shire,17.58
2019-12-25,Sorghum (White),Bahir Dar,18.0
2019-12-25,Mixed Teff,Shire,35.052
2019-12-25,Sorghum (White),Warder,39.0
2019-12-25,Oxen (Local Quality),Shire,13500.0
2019-12-25,Wheat Grain,Bahir Dar,28.068
2019-12-25,Wheat Grain,Chereti,40.0
2019-12-25,Sheep (Local Quality),Shire,2300.0
2019-12-25,Sorghum (Red),Warder,40.0
2019-12-25,Firewood,Warder,16.0
2019-12-25,Sorghum (Red),Shire,11.168
2019-12-25,Wheat Flour,Chereti,40.0
2019-12-25,Sorghum (White),Shire,8.75
2019-12-25,Camels (Local Quality),Warder,17900.0
2019-12-25,Wheat Grain,Shire,17.092
2019-12-25,Diesel,Chereti,25.0
2019-12-25,Mixed Teff,Sekota,58.0
2019-12-25,Diesel,Dessie,18.31
2019-12-25,Diesel,Mekele,18.49
2019-12-25,Wheat Grain,"Dire Dawa, Kezira",21.4
2019-12-25,Gasoline,Mekele,21.27
2019-12-25,Goats (Local Quality),Mekele,2160.0
2019-12-25,Wheat Flour,"Dire Dawa, Kezira",30.0
2019-12-25,Horse beans,Mekele,32.7
2019-12-25,Maize Grain (White),Mekele,11.59
2019-12-25,Mixed Teff,Mekele,22.528
2019-12-25,Horse beans,Bahir Dar,39.362
2019-12-25,Oxen (Local Quality),Mekele,12400.0
2019-12-25,Sorghum (White),"Dire Dawa, Kezira",20.4
2019-12-25,Sheep (Local Quality),Mekele,2710.0
2019-12-25,Sorghum (Red),"Dire Dawa, Kezira",13.0
2019-12-25,Sorghum (White),Mekele,20.36666667
2019-12-25,Sorghum (Yellow),Mekele,18.362
2019-12-25,Sheep (Local Quality),"Dire Dawa, Kezira",3140.0
2019-12-25,Wheat Grain,Mekele,18.156
2019-12-25,Beans (Haricot),"Nazareth, Adama",22.0
2019-12-25,Oxen (Local Quality),"Dire Dawa, Kezira",16100.0
2019-12-25,"Casual Labor (unskilled, daily, without food)","Nazareth, Adama",100.0
2019-12-25,Diesel,"Nazareth, Adama",18.63
2019-12-25,Firewood,"Nazareth, Adama",4.4
2019-12-25,Maize Grain (White),Bahir Dar,9.75
2019-12-25,Gasoline,"Nazareth, Adama",21.41
2019-12-25,Mixed Teff,"Dire Dawa, Kezira",30.8
2019-12-25,"Casual Labor (unskilled, daily, without food)",Mekele,220.0
2019-12-25,"Casual Labor (unskilled, daily, without food)",Gambella,84.0
2019-12-25,Wheat Grain,Jinka,18.0
2019-12-25,Sorghum (White),Jinka,14.4
2019-12-25,Diesel,Bahir Dar,18.76
2019-12-25,Firewood,Bahir Dar,2.862
2019-12-25,Wheat Grain,Gambella,13.2
2019-12-25,Sorghum (Red),Gambella,8.6
2019-12-25,Sheep (Local Quality),Gambella,1660.0
2019-12-25,"Casual Labor (unskilled, daily, without food)",Bahir Dar,108.0
2019-12-25,Oxen (Local Quality),Gambella,6600.0
2019-12-25,Gasoline,Bahir Dar,21.54
2019-12-25,Beans (Haricot),Bahir Dar,34.858
2019-12-25,Mixed Teff,Gambella,31.0
2019-12-25,"Casual Labor (unskilled, daily, without food)",Jinka,74.0
2019-12-25,Maize Grain (White),Gambella,10.8
2019-12-25,Goats (Local Quality),"Nazareth, Adama",1310.0
2019-12-25,Diesel,Jinka,19.49
2019-12-25,Goats (Local Quality),Gambella,980.0
2019-12-25,Goats (Local Quality),Jinka,1050.0
2019-12-25,Gasoline,Gambella,23.0
2019-12-25,Horse beans,Jinka,12.0
2019-12-25,Maize Grain (White),Jinka,7.89
2019-12-25,Firewood,Gambella,17.0
2019-12-25,Mixed Teff,Jinka,29.6
2019-12-25,Oxen (Local Quality),Jinka,10100.0
2019-12-25,Sheep (Local Quality),Jinka,950.0
2019-12-25,Goats (Local Quality),Bahir Dar,1800.0
2019-12-25,Sorghum (Red),Jinka,10.1
2019-12-25,Diesel,Gambella,20.59
2019-12-25,Firewood,Jinka,46.0
2019-12-25,"Casual Labor (unskilled, daily, without food)",Dessie,142.0
2019-12-25,Horse beans,"Nazareth, Adama",33.8
2019-12-25,Maize Grain (White),"Nazareth, Adama",11.4
2019-12-25,Sorghum (White),Dessie,13.7
2019-12-25,Diesel,Sekota,18.86
2019-12-25,Firewood,Sekota,15.0
2019-12-25,Wheat Grain,"Addis Ababa, Merkato",30.6
2019-12-25,Sorghum (Red),Dessie,12.1
2019-12-25,Gasoline,Sekota,18.86
2019-12-25,Sheep (Local Quality),Dessie,1780.0
2019-12-25,Goats (Local Quality),Sekota,1670.0
2019-12-25,Horse beans,Sekota,54.6
2019-12-25,Oxen (Local Quality),Dessie,1780.0
2019-12-25,Maize Grain (White),Sekota,21.4
2019-12-25,Mixed Teff,Dessie,31.4
2019-12-25,Oxen (Local Quality),Sekota,8320.0
2019-12-25,Wheat Flour,"Addis Ababa, Merkato",26.0
2019-12-25,Maize Grain (White),Dessie,12.2
2019-12-25,Sheep (Local Quality),Sekota,1660.0
2019-12-25,Sorghum (White),Sekota,27.6
2019-12-25,Horse beans,Dessie,23.4
2019-12-25,Sorghum (Yellow),Sekota,30.0
2019-12-25,Wheat Grain,Sekota,30.0
2019-12-25,Goats (Local Quality),Dessie,3400.0
2019-12-25,Sorghum (Yellow),"Addis Ababa, Merkato",18.8
2019-12-25,Gasoline,Dessie,21.09
2019-12-25,Firewood,Dessie,5.0
2019-12-25,Sorghum (White),"Addis Ababa, Merkato",18.8
2019-12-25,"Casual Labor (unskilled, daily, without food)",Sekota,150.0
2019-12-25,Oxen (Local Quality),Bahir Dar,12900.0
2019-12-25,Wheat Grain,Nekemte,18.8
2019-12-25,Sorghum (White),Nekemte,14.4
2019-12-25,Horse beans,"Dire Dawa, Kezira",35.4
2019-12-25,Mixed Teff,"Nazareth, Adama",27.4
2019-12-25,Oxen (Local Quality),"Nazareth, Adama",14100.0
2019-12-25,Goats (Local Quality),"Dire Dawa, Kezira",3140.0
2019-12-25,Sheep (Local Quality),"Nazareth, Adama",1420.0
2019-12-25,Sorghum (Red),"Nazareth, Adama",16.0
2019-12-25,Gasoline,"Dire Dawa, Kezira",20.86
2019-12-25,Sorghum (White),"Nazareth, Adama",20.0
2019-12-25,Sorghum (Yellow),"Nazareth, Adama",18.8
2019-12-25,Wheat Grain,"Nazareth, Adama",20.8
2019-12-25,Diesel,"Dire Dawa, Kezira",18.08
2019-12-25,"Casual Labor (unskilled, daily, without food)",Nekemte,172.0
2019-12-25,Maize Grain (White),"Dire Dawa, Kezira",13.0
2019-12-25,Diesel,Nekemte,19.13
2019-12-25,Gasoline,Nekemte,21.91
2019-12-25,"Casual Labor (unskilled, daily, without food)","Dire Dawa, Kezira",104.0
2019-12-25,Goats (Local Quality),Nekemte,1670.0
2019-12-25,Horse beans,Nekemte,27.55
2019-12-25,Beans (Haricot),"Dire Dawa, Kezira",18.0
2019-12-25,Maize Grain (White),Nekemte,8.6
2019-12-25,Mixed Teff,Nekemte,29.0
2019-12-25,Wheat Grain,Dessie,17.5
2019-12-25,Oxen (Local Quality),Nekemte,11900.0
2019-12-25,Sheep (Local Quality),Nekemte,2310.0
2019-12-25,Sorghum (Yellow),Dessie,17.1
2019-12-25,Sorghum (Red),Nekemte,13.2
2019-12-25,Mixed Teff,Bahir Dar,32.172
2019-12-25,Goats (Local Quality),Yabelo,3660.0
2019-12-25,Beans (Haricot),"Addis Ababa, Merkato",40.6
2019-12-25,Oxen (Local Quality),Yabelo,16200.0
2019-12-25,Wheat Grain,Yabelo,16.0
2019-12-25,Maize Grain (White),Yabelo,10.2
2019-12-25,Sheep (Local Quality),Yabelo,1660.0
2019-12-25,Sorghum (White),Yabelo,15.2
2019-12-25,Mixed Teff,Yabelo,29.6
2019-12-25,Sorghum (Red),Yabelo,14.0
2019-12-25,"Casual Labor (unskilled, daily, without food)","Addis Ababa, Merkato",51.0
2020-01-01,Firewood,Chereti,20.0
2020-01-01,Gasoline,Shashemene,21.528
2020-01-01,Sorghum (Yellow),Degehabour,11.8
2020-01-01,Mixed Teff,"Addis Ababa, Merkato",33.4
2020-01-01,Diesel,Chereti,25.0
2020-01-01,Sorghum (White),Shire,16.378
2020-01-01,Sorghum (Yellow),Sekota,17.64
2020-01-01,"Casual Labor (unskilled, daily, without food)",Shire,154.0
2020-01-01,Wheat Grain,Jinka,19.5
2020-01-01,Sorghum (White),Sodo,13.3
2020-01-01,Beans (Haricot),Beddenno,24.4
2020-01-01,Gasoline,Gambella,23.4
2020-01-01,Sheep (Local Quality),Dessie,3340.0
2020-01-01,Mixed Teff,Yabelo,29.8
2020-01-01,Horse beans,Sikela,37.0
2020-01-01,"Casual Labor (unskilled, daily, without food)",Mekele,212.0
2020-01-01,Sorghum (Yellow),Sodo,14.9
2020-01-01,Goats (Local Quality),Gambella,920.0
2020-01-01,"Casual Labor (unskilled, daily, without food)",Sodo,120.0
2020-01-01,Gasoline,Chereti,30.0
2020-01-01,Wheat Flour,Warder,30.0
2020-01-01,Sheep (Local Quality),Shashemene,1160.0
2020-01-01,Beans (Haricot),Sodo,9.1
2020-01-01,Sorghum (White),"Nazareth, Adama",16.0
2020-01-01,Gasoline,Sekota,18.86
2020-01-01,Mixed Teff,Dessie,32.4
2020-01-01,Diesel,Bahir Dar,18.76
2020-01-01,Horse beans,Chereti,60.0
2020-01-01,Sheep (Local Quality),Jinka,1320.0
2020-01-01,Wheat Grain,Sodo,17.0
2020-01-01,Gasoline,Gode,25.0
2020-01-01,Wheat Flour,Shire,29.6
2020-01-01,Wheat Grain,"Addis Ababa, Merkato",28.6
2020-01-01,Goats (Local Quality),Chereti,2280.0
2020-01-01,Sorghum (Red),Jinka,9.9
2020-01-01,Sorghum (Red),Gode,39.4
2020-01-01,Oxen (Local Quality),Dessie,23600.0
2020-01-01,Horse beans,Gambella,36.0
2020-01-01,Sorghum (White),Jinka,14.9
2020-01-01,Firewood,Gambella,15.0
2020-01-01,Sorghum (Red),"Addis Ababa, Merkato",28.0
2020-01-01,Maize Grain (White),Nekemte,7.7
2020-01-01,Oxen (Local Quality),"Addis Ababa, Merkato",13400.0
2020-01-01,Oxen (Local Quality),Jinka,12800.0
2020-01-01,Oxen (Local Quality),Bahir Dar,11800.0
2020-01-01,Sorghum (White),Dessie,13.7
2020-01-01,Maize Grain (White),Mekele,12.492
2020-01-01,"Casual Labor (unskilled, daily, without food)",Gambella,90.0
2020-01-01,Wheat Grain,Beddenno,19.0
2020-01-01,Oxen (Local Quality),Nekemte,9200.0
2020-01-01,Sorghum (Yellow),Dessie,17.2
2020-01-01,Sorghum (Red),Sodo,10.0
2020-01-01,Oxen (Local Quality),Shire,10600.0
2020-01-01,Horse beans,Mekele,32.16
2020-01-01,Sheep (Local Quality),"Nazareth, Adama",1320.0
2020-01-01,Sorghum (White),Beddenno,9.6
2020-01-01,Firewood,Shashemene,5.0
